Id,Disease
1,HIV Infections
2,"Bone Diseases, Developmental"
3,"Scleroderma, Diffuse"
4,Arthritis
5,Spinal Cord Diseases
6,Catatonia
7,Varicose Veins
8,Moraxellaceae Infections
9,"Syphilis, Congenital"
10,Psoas Abscess
11,Toxemia
12,Intervertebral Disk Displacement
13,Pleural Diseases
14,"Alkalosis, Respiratory"
15,"Purpura, Thrombocytopenic, Idiopathic"
16,Factitious Disorders
17,Rare Diseases
18,Cleft Palate
19,"Carcinoma, Basal Cell"
20,Arthrogryposis
21,Hemarthrosis
22,Anencephaly
23,Fetal Alcohol Syndrome
24,Foot Dermatoses
25,Tonsillitis
26,Blood Coagulation Disorders
27,Tabes Dorsalis
28,Proctitis
29,Pancreatic Fistula
30,Migraine without Aura
31,Arteriovenous Malformations
32,"Anemia, Hemolytic, Congenital Nonspherocytic"
33,Colonic Polyps
34,"Subarachnoid Hemorrhage, Traumatic"
35,"Leukemia, Mast-Cell"
36,High Pressure Neurological Syndrome
37,"Gastroenteritis, Transmissible, of Swine"
38,"Tooth, Supernumerary"
39,Sjogren-Larsson Syndrome
40,Maple Syrup Urine Disease
41,Frontotemporal Lobar Degeneration
42,"Hearing Loss, Central"
43,"Lysosomal Storage Diseases, Nervous System"
44,Hyperphosphatemia
45,"Cerebral Amyloid Angiopathy, Familial"
46,Postcholecystectomy Syndrome
47,Polydactyly
48,"Hernia, Inguinal"
49,Mevalonate Kinase Deficiency
50,Laboratory Infection
51,Lentivirus Infections
52,Intra-Articular Fractures
53,"Hypertension, Renal"
54,"Diabetes Mellitus, Type 2"
55,Psittacosis
56,"Lung Diseases, Fungal"
57,Infectious Mononucleosis
58,"Delirium, Dementia, Amnestic, Cognitive Disorders"
59,Cellulitis
60,Choledochal Cyst
61,Asbestosis
62,Pulmonary Embolism
63,Athetosis
64,Disseminated Intravascular Coagulation
65,Vitamin B 6 Deficiency
66,"Lymphangioma, Cystic"
67,"Lymphoma, B-Cell"
68,Coma
69,"Carcinoma 256, Walker"
70,Hypertensive Encephalopathy
71,Hyperlipoproteinemia Type II
72,Bell Palsy
73,Rectal Fistula
74,Neurofibroma
75,"Osteoarthritis, Knee"
76,"Hydrocephalus, Normal Pressure"
77,"Fatty Liver, Alcoholic"
78,Systemic Vasculitis
79,Sialadenitis
80,"Cholesteatoma, Middle Ear"
81,Corneal Edema
82,Pseudolymphoma
83,Persistent Fetal Circulation Syndrome
84,Oculocerebrorenal Syndrome
85,Alstrom Syndrome
86,"Insomnia, Fatal Familial"
87,Tolosa-Hunt Syndrome
88,"Mineralocorticoid Excess Syndrome, Apparent"
89,"Pneumonia, Progressive Interstitial, of Sheep"
90,Carotid-Cavernous Sinus Fistula
91,Immersion Foot
92,Teratocarcinoma
93,Prognathism
94,"Neoplasms, Glandular and Epithelial"
95,Glucagonoma
96,Anaplasmosis
97,Mucocutaneous Lymph Node Syndrome
98,Paraproteinemias
99,Postoperative Complications
100,Mucocele
101,Trismus
102,Facial Pain
103,Myopia
104,Epididymitis
105,Subcutaneous Emphysema
106,Croup
107,Astrocytoma
108,Beriberi
109,Hemoglobinuria
110,Ventricular Outflow Obstruction
111,Sexually Transmitted Diseases
112,Mobius Syndrome
113,Carbon Tetrachloride Poisoning
114,"Neoplasms, Cystic, Mucinous, and Serous"
115,"Colorectal Neoplasms, Hereditary Nonpolyposis"
116,Murine Acquired Immunodeficiency Syndrome
117,"Lichen Planus, Oral"
118,"Myasthenic Syndromes, Congenital"
119,Trigeminal Nerve Diseases
120,Oligomenorrhea
121,"Hernia, Abdominal"
122,Osteitis Fibrosa Cystica
123,Tibial Neuropathy
124,Peritoneal Neoplasms
125,Brain Neoplasms
126,Bartonella Infections
127,Staphylococcal Food Poisoning
128,Staphylococcal Skin Infections
129,Myotonic Dystrophy
130,Common Bile Duct Diseases
131,Duodenitis
132,Nasal Polyps
133,Thymus Hyperplasia
134,Erythema Nodosum
135,Hemangiosarcoma
136,Lymphomatoid Granulomatosis
137,Gingival Neoplasms
138,"Muscular Dystrophy, Duchenne"
139,Meningitis
140,Vesico-Ureteral Reflux
141,"Infertility, Female"
142,"Obstetric Labor, Premature"
143,"Schizophrenia, Catatonic"
144,"Pneumonia, Aspiration"
145,Ventricular Fibrillation
146,Liposarcoma
147,"Carcinoma, Endometrioid"
148,Tooth Avulsion
149,Pilomatrixoma
150,"Colitis, Collagenous"
151,Glucose Metabolism Disorders
152,Tissue Adhesions
153,Scoliosis
154,Fatty Liver
155,"Tuberculosis, Pulmonary"
156,Hypersensitivity
157,Endotoxemia
158,Coccidioidomycosis
159,Condylomata Acuminata
160,Trichuriasis
161,Pancreatic Pseudocyst
162,"Stomatitis, Aphthous"
163,Hypothalamic Diseases
164,Dystonia
165,Chediak-Higashi Syndrome
166,"Burns, Inhalation"
167,Self Mutilation
168,Xanthomatosis
169,Budd-Chiari Syndrome
170,"Urinary Bladder, Neurogenic"
171,"Twins, Conjoined"
172,Buruli Ulcer
173,"Exostoses, Multiple Hereditary"
174,Salivary Duct Calculi
175,Acidosis
176,Fibromuscular Dysplasia
177,Pseudobulbar Palsy
178,"Dental Occlusion, Traumatic"
179,"Hearing Loss, Mixed Conductive-Sensorineural"
180,Lown-Ganong-Levine Syndrome
181,Essential Tremor
182,Melanoma
183,Craniocerebral Trauma
184,Mycoplasmatales Infections
185,Enoplida Infections
186,Multiple Pulmonary Nodules
187,Appendicitis
188,"T-Lymphocytopenia, Idiopathic CD4-Positive"
189,Leg Ulcer
190,Drug Toxicity
191,Neonatal Abstinence Syndrome
192,"Shock, Traumatic"
193,Choristoma
194,"Carcinoma, Embryonal"
195,Telangiectasis
196,Vulvitis
197,Fetal Hypoxia
198,"Adenocarcinoma, Scirrhous"
199,Supratentorial Neoplasms
200,"Hepatitis, Autoimmune"
201,Refractive Errors
202,Romano-Ward Syndrome
203,Tangier Disease
204,Language Development Disorders
205,Prion Diseases
206,"Lead Poisoning, Nervous System"
207,Nephrolithiasis
208,Wolf-Hirschhorn Syndrome
209,Retinal Telangiectasis
210,Rheumatic Fever
211,Infection
212,Waldenstrom Macroglobulinemia
213,Thyroid Diseases
214,Food Hypersensitivity
215,Personality Disorders
216,Histrionic Personality Disorder
217,Foot Diseases
218,Ventricular Dysfunction
219,"Adenocarcinoma, Papillary"
220,Preleukemia
221,Macrophage Activation Syndrome
222,"Hearing Loss, Functional"
223,Obesity Hypoventilation Syndrome
224,"Aortic Stenosis, Supravalvular"
225,Prune Belly Syndrome
226,"Carcinoma, Giant Cell"
227,"Meningitis, Escherichia coli"
228,Feline Panleukopenia
229,"Fibromatosis, Gingival"
230,Nephrosclerosis
231,Central Nervous System Helminthiasis
232,"Nevus, Epithelioid and Spindle Cell"
233,Rubulavirus Infections
234,Gyrate Atrophy
235,Geographic Atrophy
236,Skin Diseases
237,Leprosy
238,Malaria
239,"Leukemia, Myeloid, Acute"
240,Drug-Induced Liver Injury
241,Purpura
242,"Hyperparathyroidism, Primary"
243,"Depressive Disorder, Major"
244,Anaplasmataceae Infections
245,Paratyphoid Fever
246,Pneumococcal Infections
247,Tinea Capitis
248,"Conjunctivitis, Viral"
249,Enterovirus Infections
250,"Carcinoma, Small Cell"
251,Panuveitis
252,Hyperkalemia
253,Thrombophlebitis
254,"Hernia, Ventral"
255,"Lymphangiectasis, Intestinal"
256,No-Reflow Phenomenon
257,ACTH-Secreting Pituitary Adenoma
258,"Hepatitis D, Chronic"
259,Gardner Syndrome
260,"Genetic Diseases, Y-Linked"
261,Fascioliasis
262,"Leukemia, Promyelocytic, Acute"
263,Wegener Granulomatosis
264,Uterine Hemorrhage
265,Vitamin B Deficiency
266,Trisomy
267,Wound Infection
268,"Panniculitis, Peritoneal"
269,Gingivitis
